sku,category name,model_number,name,currency,original price,original stock,max_order_quantity,total_reviews,average_rating,image,url
1001023058,Drills,HDH181XB,18V Lithium Ion Cordles Brute Tough Hammer Drill Driver with Active Response Technology & LED Light,CAD,202.0,0,,4,4.5,https://images.homedepot.ca/productimages/p_1001023058.jpg,https://www.homedepot.ca/product/bosch-18v-lithium-ion-cordles-brute-tough-hammer-drill-driver-with-active-response-technology-led-light/1001023058
1001066497,Drills,HDS181A-02,18V Compact Tough 1/2 Inch Hammer Drill/Driver Kit,CAD,292.0,0,,1,1.0,https://images.homedepot.ca/productimages/p_1001066497.jpg,https://www.homedepot.ca/product/bosch-18v-compact-tough-1-2-inch-hammer-drill-driver-kit/1001066497
1001814933,Drills,GBH18V-28DCK24,Bulldog 18V Cordless Brushless 1-1/8-inch SDS-Plus Rotary Hammer Kit with (2) CORE 18V 8.0 Ah High Power Batteries and Charger and Carrying Case,CAD,699.0,0,,1,5.0,https://images.homedepot.ca/productimages/p_1001814933.jpg,https://www.homedepot.ca/product/bosch-bulldog-18v-cordless-brushless-1-1-8-inch-sds-plus-rotary-hammer-kit-with-2-core-18v-8-0-ah-high-power-batteries-and-charger-and-carrying-case/1001814933
1001585008,Drills,273756,UD 30 Universal 6.5 Amp 1/2 inch Metal Drill Keyed Chuck,CAD,179.0,0,,0,0.0,https://images.homedepot.ca/productimages/p_1001585008.jpg,https://www.homedepot.ca/product/hilti-ud-30-universal-6-5-amp-1-2-inch-metal-drill-keyed-chuck/1001585008
1001022506,Drills,PS31BN,12V MAX 3/8 Inch Drill Driver with Exact-Fit Insert Tray,CAD,129.0,0,,6,4.5,https://images.homedepot.ca/productimages/p_1001022506.jpg,https://www.homedepot.ca/product/bosch-12v-max-3-8-inch-drill-driver-with-exact-fit-insert-tray/1001022506
1001022807,Drills,PS22-02,"12V Lithium-Ion Cordless Drill/Pocket Driver with Two-Speed, 2 Batteries, Charger and Carrying Bag",CAD,206.0,0,,46,4.7609,https://images.homedepot.ca/productimages/p_1001022807.jpg,https://www.homedepot.ca/product/bosch-12v-lithium-ion-cordless-drill-pocket-driver-with-two-speed-2-batteries-charger-and-carrying-bag/1001022807
1001585119,Drills,8304N,"3/8"" Electric Drill",CAD,79.98,0,,1,1.0,https://images.homedepot.ca/productimages/p_1001585119.jpg,https://www.homedepot.ca/product/performance-plus-3-8-electric-drill/1001585119
1001824192,Drills,2172149,120V 15A SDS-Max TE 70 Corded Brushless Hammer Drill w/ Active Vibration Reduction (AVR),CAD,3409.0,0,,1,5.0,https://images.homedepot.ca/productimages/p_1001824192.jpg,https://www.homedepot.ca/product/hilti-120v-15a-sds-max-te-70-corded-brushless-hammer-drill-w-active-vibration-reduction-avr-/1001824192
1001184795,Drills,D25951K,29 lb. SDS Max In-Line Demolition Hammer with SHOCKS,CAD,1409.0,0,,0,0.0,https://images.homedepot.ca/productimages/p_1001184795.jpg,https://www.homedepot.ca/product/dewalt-29-lb-sds-max-in-line-demolition-hammer-with-shocks/1001184795
1000427137,Drills,DW505K,7.8 Amp 1/2-inch Variable Speed Reversing Dual-Range Hammer Drill with kit box,CAD,219.0,0,,22,4.0,https://images.homedepot.ca/productimages/p_1000427137.jpg,https://www.homedepot.ca/product/dewalt-7-8-amp-1-2-inch-variable-speed-reversing-dual-range-hammer-drill-with-kit-box/1000427137
1001023016,Drills,DDS182BL,18V EC Brushless Keyless 1/2-inch Chuck Cordless Drill/Driver with Case,CAD,189.0,0,,10,4.7,https://images.homedepot.ca/productimages/p_1001023016.jpg,https://www.homedepot.ca/product/bosch-18v-ec-brushless-keyless-1-2-inch-chuck-cordless-drill-driver-with-case/1001023016
1001023008,Drills,DDH181XBL,18V Lithium Ion Cordless Brute Tough Drill Driver with Active Response Technology & LED Light,CAD,229.0,0,,0,0.0,https://images.homedepot.ca/productimages/p_1001023008.jpg,https://www.homedepot.ca/product/bosch-18v-lithium-ion-cordless-brute-tough-drill-driver-with-active-response-technology-led-light/1001023008
1001028421,Drills,273749,120-Volt 1/2 in. Universal Wood Drill UD 16 Keyed (Tool Only),CAD,179.0,0,,3,4.6667,https://images.homedepot.ca/productimages/p_1001028421.jpg,https://www.homedepot.ca/product/hilti-120-volt-1-2-in-universal-wood-drill-ud-16-keyed-tool-only-/1001028421
1001023148,Drills,PS22BN,12V Lithium Ion Battery Cordless Max EC Brushless Two-Speed Pocket Driver,CAD,148.0,0,,5,4.2,https://images.homedepot.ca/productimages/p_1001023148.jpg,https://www.homedepot.ca/product/bosch-12v-lithium-ion-battery-cordless-max-ec-brushless-two-speed-pocket-driver/1001023148
1001070404,Drills,HDS183-01,18V EC Brushless Compact Tough 1/2 Inch Hammer Drill/Driver Kit,CAD,379.0,0,,4,4.25,https://images.homedepot.ca/productimages/p_1001070404.jpg,https://www.homedepot.ca/product/bosch-18v-ec-brushless-compact-tough-1-2-inch-hammer-drill-driver-kit/1001070404
1000730925,Drills,4130,Diamond Coring Large Base Stand,CAD,1299.0,0,,2,4.5,https://images.homedepot.ca/productimages/p_1000730925.jpg,https://www.homedepot.ca/product/milwaukee-tool-diamond-coring-large-base-stand/1000730925
1000730923,Drills,4120,Diamond Coring Large Base Stand,CAD,869.0,0,,1,4.0,https://images.homedepot.ca/productimages/p_1000730923.jpg,https://www.homedepot.ca/product/milwaukee-tool-diamond-coring-large-base-stand/1000730923
